EPOCHS ,RGB    ,Gray   ,RGB-T0 ,Gray-T0,RGB-T1 ,Gray-T1,RGB-T2 ,Gray-T2,
     72,0.89773,0.91224,0.90839,0.90385,0.90567,0.92290,0.90567,0.91837,
     73,0.89773,0.91156,0.90272,0.90680,0.90635,0.91474,0.91633,0.91769,
     74,0.90522,0.91474,0.90590,0.90794,0.90680,0.92063,0.91043,0.91814,
     75,0.90748,0.90363,0.90567,0.91179,0.90975,0.91701,0.91542,0.92857,
     76,0.89773,0.91587,0.91247,0.90952,0.91293,0.92245,0.91655,0.92109,
     77,0.90680,0.90930,0.90884,0.90680,0.90476,0.92676,0.91610,0.91519,
     78,0.89615,0.91565,0.91020,0.91633,0.90680,0.92993,0.92063,0.92177,
     79,0.90544,0.91361,0.91383,0.90136,0.90703,0.92245,0.91655,0.92744,
     80,0.90295,0.91338,0.90590,0.91293,0.90952,0.91927,0.91293,0.91950,
     81,0.90544,0.92063,0.90748,0.92086,0.90703,0.93220,0.91247,0.92630,
     82,0.90884,0.91361,0.91519,0.90816,0.90839,0.92562,0.91905,0.92426,
     83,0.90862,0.92063,0.90998,0.91224,0.91587,0.92358,0.90816,0.92381,
     84,0.90567,0.91701,0.90748,0.91406,0.90930,0.92381,0.91859,0.92540,
     85,0.90794,0.92494,0.91633,0.91224,0.91383,0.92608,0.91315,0.92358,
     86,0.90658,0.92313,0.90703,0.92222,0.91383,0.92426,0.91270,0.92744,
     87,0.91451,0.92290,0.90816,0.92426,0.90567,0.92154,0.91361,0.92630,
     88,0.90930,0.91927,0.91791,0.91859,0.91247,0.92540,0.92290,0.92902,
     89,0.90930,0.92154,0.91429,0.91701,0.91315,0.93175,0.92086,0.93084,
     90,0.91088,0.92381,0.90816,0.91769,0.91383,0.92177,0.91383,0.93197,
     91,0.90703,0.92109,0.91905,0.91678,0.91429,0.93039,0.92086,0.92313,
     92,0.90975,0.92880,0.91837,0.91542,0.91315,0.92268,0.91905,0.92834,
     93,0.91088,0.92358,0.91769,0.91655,0.90998,0.92245,0.91859,0.93243,
     94,0.90431,0.92177,0.91224,0.91202,0.91451,0.92744,0.92336,0.92744,
     95,0.91202,0.92268,0.91814,0.92268,0.92018,0.92721,0.92086,0.93039,
     96,0.90522,0.92472,0.91202,0.91859,0.91655,0.93288,0.92018,0.93152,
     97,0.91134,0.92063,0.91315,0.91905,0.91429,0.92925,0.92494,0.92948,
     98,0.91610,0.92789,0.92132,0.92154,0.91338,0.93107,0.92336,0.93583,
     99,0.91406,0.92630,0.91020,0.92336,0.91542,0.92676,0.91950,0.93356,
    100,0.91474,0.92132,0.91610,0.91769,0.91383,0.93152,0.92449,0.92993,
    101,0.91723,0.92245,0.92063,0.92200,0.92200,0.93107,0.92109,0.92608,
    102,0.91202,0.92540,0.92018,0.91973,0.91451,0.93515,0.91859,0.92880,
    103,0.90544,0.92562,0.91837,0.92517,0.91587,0.93492,0.92494,0.93560,
    104,0.91179,0.92653,0.91293,0.92721,0.92290,0.94036,0.92154,0.92948,
    105,0.90544,0.92698,0.91565,0.92585,0.91088,0.93968,0.92358,0.93333,
    106,0.91338,0.92562,0.92517,0.92154,0.92200,0.93288,0.91973,0.93197,
    107,0.90952,0.92834,0.92245,0.92517,0.92472,0.93401,0.91723,0.93129,
    108,0.92109,0.92766,0.92381,0.92562,0.92676,0.93832,0.92313,0.93560,
    109,0.91995,0.92517,0.91633,0.92789,0.92290,0.92993,0.92608,0.93333,
