EPOCHS ,orginal,aug c16,augment,
    168,0.95941,0.95737,0.96281,
    169,0.96825,0.96259,0.96599,
    170,0.96757,0.96712,0.96757,
    171,0.96621,0.95986,0.96893,
    172,0.96621,0.96440,0.96825,
    173,0.96621,0.96463,0.97007,
    174,0.96122,0.97098,0.96644,
    175,0.96599,0.96984,0.97120,
    176,0.96553,0.96485,0.96440,
    177,0.97007,0.96599,0.96757,
    178,0.95986,0.97052,0.97120,
    179,0.96871,0.96145,0.96463,
    180,0.95737,0.96372,0.96576,
    181,0.95896,0.97143,0.97166,
    182,0.96395,0.96893,0.97098,
    183,0.96190,0.96735,0.96848,
    184,0.96236,0.96485,0.96780,
    185,0.96372,0.96236,0.96939,
    186,0.96599,0.96213,0.96599,
    187,0.96395,0.95986,0.97098,
    188,0.96168,0.96372,0.96961,
    189,0.96531,0.96553,0.96440,
    190,0.96712,0.96259,0.96893,
    191,0.96440,0.96599,0.96939,
    192,0.96190,0.96961,0.97120,
    193,0.97483,0.96667,0.96689,
    194,0.96304,0.96757,0.97279,
    195,0.96440,0.96757,0.97029,
    196,0.96463,0.96531,0.96893,
    197,0.95986,0.96961,0.96780,
    198,0.96009,0.96644,0.96848,
    199,0.96122,0.96689,0.96961,
    200,0.96032,0.97007,0.96803,
    201,0.96531,0.96871,0.96644,
    202,0.96304,0.96961,0.97075,
    203,0.96259,0.97234,0.97483,
    204,0.96304,0.96236,0.97279,
    205,0.96599,0.96848,0.96236,
    206,0.96757,0.96304,0.96712,
    207,0.97007,0.96871,0.96803,
    208,0.96961,0.97256,0.96984,
    209,0.96122,0.96939,0.96531,
    210,0.96689,0.97188,0.96984,
    211,0.95964,0.97166,0.96984,
    212,0.96077,0.96190,0.96871,
    213,0.96508,0.96735,0.96893,
    214,0.96531,0.96689,0.96667,
    215,0.96032,0.96848,0.96667,
    216,0.95714,0.96689,0.97234,
    217,0.96145,0.97007,0.97347,
    218,0.96395,0.96871,0.97438,
    219,0.96780,0.97007,0.96780,
    220,0.96485,0.96485,0.96939,
    221,0.96417,0.97120,0.96961,
    222,0.96440,0.96916,0.97143,
    223,0.96780,0.96553,0.96621,
    224,0.96100,0.96803,0.96939,
    225,0.97052,0.97302,0.97211,
    226,0.96871,0.97302,0.96961,
    227,0.96281,0.96735,0.97166,
    228,0.96440,0.96803,0.96689,
    229,0.96644,0.96848,0.97098,
    230,0.95873,0.96349,0.97007,
    231,0.97075,0.96848,0.96531,
    232,0.96576,0.96893,0.96327,
    233,0.96848,0.96485,0.97143,
    234,0.96395,0.96621,0.96463,
    235,0.96440,0.96644,0.96848,
    236,0.96485,0.96599,0.96508,
    237,0.96372,0.95986,0.97755,
    238,0.96508,0.96054,0.96780,
    239,0.97052,0.96463,0.96893,
    240,0.96349,0.96531,0.96667,
    241,0.96803,0.97052,0.96576,
    242,0.96757,0.96916,0.96984,
    243,0.96009,0.97415,0.97234,
    244,0.96054,0.97029,0.97143,
    245,0.96145,0.97098,0.97234,
    246,0.96667,0.96780,0.97687,
    247,0.96054,0.96984,0.96780,
    248,0.96327,0.96689,0.97007,
    249,0.96667,0.97256,0.97823,
    250,0.96576,0.97143,0.96984,
    251,0.97029,0.96417,0.97166,
    252,0.96735,0.96825,0.97052,
    253,0.96757,0.97120,0.97415,
    254,0.97166,0.96871,0.97188,
    255,0.96803,0.96667,0.97392,
    256,0.96689,0.96281,0.97098,
    257,0.97075,0.97098,0.97460,
    258,0.96780,0.96961,0.97075,
    259,0.96508,0.96372,0.96961,
    260,0.97029,0.96803,0.96893,
    261,0.97007,0.96848,0.97029,
    262,0.96803,0.96213,0.97075,
    263,0.96644,0.96508,0.96780,
    264,0.96463,0.96689,0.97279,
    265,0.96984,0.96689,0.96825,
    266,0.96803,0.97075,0.97075,
    267,0.97347,0.97075,0.97392,
    268,0.96803,0.97143,0.96553,
    269,0.96893,0.96825,0.96893,
    270,0.96984,0.96259,0.97120,
    271,0.97506,0.96780,0.97324,
    272,0.96939,0.96780,0.97279,
    273,0.96871,0.96531,0.96757,
    274,0.96825,0.96961,0.97687,
    275,0.96780,0.96780,0.96984,
    276,0.96757,0.96372,0.97098,
    277,0.96871,0.96644,0.97234,
    278,0.96463,0.96803,0.96667,
    279,0.97188,0.96689,0.96961,
    280,0.96576,0.97415,0.97415,
    281,0.96735,0.97256,0.97188,
    282,0.96780,0.97029,0.96984,
    283,0.96984,0.96621,0.96735,
    284,0.96712,0.96961,0.97075,
    285,0.96961,0.96735,0.96939,
    286,0.96848,0.96259,0.97392,
    287,0.96644,0.96508,0.97347,
    288,0.96757,0.96644,0.97279,
    289,0.96349,0.95964,0.96621,
    290,0.96417,0.96961,0.96689,
    291,0.97007,0.96984,0.96735,
    292,0.97029,0.96689,0.97052,
    293,0.96848,0.96984,0.97188,
    294,0.96893,0.97075,0.97460,
    295,0.96984,0.97075,0.97098,
    296,0.97438,0.96667,0.96803,
    297,0.96553,0.96712,0.96871,
    298,0.96735,0.96984,0.97143,
    299,0.96576,0.97279,0.97438,
    300,0.96712,0.97279,0.97075,
    301,0.96735,0.97120,0.96803,
    302,0.97075,0.97392,0.96372,
    303,0.97007,0.96916,0.96644,
    304,0.96417,0.96984,0.97664,
    305,0.96327,0.96667,0.97007,
    306,0.96599,0.96825,0.96553,
    307,0.96871,0.96644,0.97483,
    308,0.96916,0.96190,0.97438,
    309,0.96508,0.96168,0.97007,
    310,0.96508,0.96689,0.97188,
    311,0.96599,0.96848,0.97302,
    312,0.96621,0.96939,0.97460,
    313,0.96327,0.96825,0.97029,
    314,0.97279,0.96825,0.96871,
    315,0.97120,0.97392,0.96757,
    316,0.96667,0.97324,0.97029,
    317,0.97029,0.97551,0.97166,
    318,0.97143,0.96712,0.97710,
    319,0.97098,0.96803,0.97551,
    320,0.97302,0.97052,0.97324,
    321,0.97098,0.97098,0.97800,
    322,0.97052,0.96916,0.97188,
    323,0.96893,0.96644,0.96757,
    324,0.96780,0.97234,0.96984,
    325,0.97143,0.96553,0.96848,
    326,0.96780,0.96961,0.97188,
    327,0.96531,0.97098,0.97370,
    328,0.97279,0.96712,0.96984,
    329,0.96599,0.97188,0.96984,
    330,0.97415,0.97120,0.96621,
    331,0.97029,0.97166,0.97120,
    332,0.97120,0.97120,0.96961,
    333,0.96961,0.97120,0.97052,
    334,0.97052,0.97302,0.96825,
    335,0.96689,0.97234,0.96984,
    336,0.96757,0.97075,0.96508,
    337,0.96916,0.96961,0.97098,
    338,0.97098,0.97007,0.97098,
    339,0.97460,0.97188,0.97279,
    340,0.96984,0.96803,0.97370,
    341,0.96553,0.96848,0.96916,
    342,0.97075,0.96961,0.97279,
    343,0.97279,0.97347,0.97415,
    344,0.96825,0.97324,0.97234,
    345,0.96893,0.96916,0.97052,
    346,0.97324,0.96961,0.97370,
    347,0.96803,0.96667,0.97256,
    348,0.96871,0.96757,0.97710,
    349,0.96961,0.97166,0.96871,
    350,0.97188,0.96599,0.97279,
    351,0.96984,0.96961,0.97438,
    352,0.97302,0.96667,0.97302,
    353,0.97302,0.96395,0.96916,
    354,0.97120,0.96984,0.96939,
    355,0.96780,0.97188,0.96939,
    356,0.96871,0.97234,0.97664,
    357,0.96735,0.97370,0.96871,
    358,0.97188,0.96961,0.97596,
    359,0.96621,0.97143,0.97029,
    360,0.97188,0.97143,0.96916,
    361,0.96712,0.97347,0.97415,
    362,0.95918,0.96780,0.97619,
    363,0.96553,0.96939,0.97642,
    364,0.96916,0.96780,0.97415,
    365,0.96780,0.97347,0.97596,
    366,0.96757,0.97029,0.97732,
    367,0.96531,0.96871,0.97528,
    368,0.96621,0.97052,0.97506,
    369,0.96803,0.96871,0.97166,
    370,0.97143,0.96893,0.97098,
    371,0.96667,0.96893,0.97007,
    372,0.96417,0.97324,0.96893,
    373,0.96599,0.97120,0.97120,
    374,0.96689,0.97143,0.97324,
    375,0.96463,0.96871,0.97075,
    376,0.96599,0.96825,0.97166,
    377,0.96327,0.96825,0.97302,
    378,0.96190,0.96009,0.97234,
    379,0.96644,0.97324,0.97143,
    380,0.96916,0.96871,0.97438,
    381,0.96916,0.97302,0.97370,
    382,0.96825,0.97098,0.97324,
    383,0.97098,0.97324,0.97506,
    384,0.97029,0.97120,0.97143,
    385,0.96712,0.97324,0.96871,
    386,0.96825,0.97279,0.97483,
    387,0.96961,0.96848,0.97619,
    388,0.97029,0.97007,0.97324,
    389,0.96712,0.96485,0.96939,
    390,0.97256,0.97324,0.96916,
    391,0.97188,0.97846,0.96939,
    392,0.97166,0.97234,0.96848,
    393,0.96893,0.97143,0.97188,
    394,0.96780,0.97075,0.97098,
    395,0.96485,0.97370,0.97370,
    396,0.96780,0.97392,0.97302,
    397,0.96712,0.96417,0.97256,
    398,0.96553,0.97256,0.97347,
    399,0.96893,0.97007,0.97143,
    400,0.96576,0.97279,0.97823,
    401,0.97029,0.97370,0.97506,
    402,0.96485,0.97302,0.97528,
    403,0.97211,0.97166,0.97324,
    404,0.96825,0.97052,0.97732,
    405,0.96871,0.97302,0.97188,
    406,0.97029,0.97392,0.97098,
    407,0.96825,0.97211,0.97211,
    408,0.96576,0.97256,0.97483,
    409,0.96712,0.97052,0.97755,
    410,0.96984,0.97370,0.97415,
    411,0.97302,0.97574,0.97506,
    412,0.97211,0.97256,0.97415,
    413,0.97234,0.97370,0.97755,
    414,0.96780,0.97256,0.97823,
    415,0.96644,0.97188,0.97483,
    416,0.96417,0.97302,0.97370,
    417,0.97052,0.96961,0.97438,
    418,0.96803,0.97211,0.97642,
    419,0.97120,0.97392,0.97415,
    420,0.96871,0.96893,0.97483,
    421,0.96485,0.97098,0.97415,
    422,0.96780,0.96871,0.97778,
    423,0.96508,0.96984,0.97710,
    424,0.96871,0.97188,0.97302,
    425,0.96939,0.96667,0.97120,
    426,0.97120,0.97029,0.97166,
    427,0.96848,0.97347,0.97347,
    428,0.97029,0.97211,0.97211,
    429,0.97302,0.97256,0.97324,
    430,0.96531,0.97347,0.97392,
    431,0.97211,0.97188,0.97528,
    432,0.96735,0.97256,0.97370,
    433,0.96735,0.96599,0.96304,
    434,0.97007,0.97392,0.97619,
    435,0.97052,0.97188,0.97347,
    436,0.96644,0.96871,0.97664,
    437,0.97211,0.97642,0.97347,
    438,0.96780,0.97460,0.97596,
    439,0.97120,0.96621,0.97166,
    440,0.97211,0.97120,0.97098,
    441,0.97120,0.97483,0.96916,
    442,0.96893,0.97098,0.97279,
    443,0.97528,0.97120,0.97166,
    444,0.96644,0.97052,0.97392,
    445,0.97483,0.97302,0.97370,
    446,0.97029,0.97256,0.97664,
    447,0.96644,0.97143,0.97800,
    448,0.97052,0.97256,0.97324,
    449,0.97007,0.97370,0.97506,
    450,0.97075,0.97528,0.97188,
    451,0.96961,0.97324,0.97506,
    452,0.97256,0.97370,0.97710,
    453,0.97075,0.97052,0.97347,
    454,0.97075,0.97460,0.97279,
    455,0.96327,0.96757,0.97052,
    456,0.96893,0.96803,0.97438,
    457,0.96916,0.97234,0.97052,
    458,0.97075,0.96848,0.97642,
    459,0.96893,0.97256,0.97279,
    460,0.96780,0.97256,0.96939,
    461,0.96916,0.97188,0.97347,
    462,0.97120,0.96939,0.96259,
    463,0.97075,0.97098,0.97211,
    464,0.96576,0.96893,0.97256,
    465,0.96780,0.97460,0.97460,
    466,0.96984,0.96757,0.97279,
    467,0.96689,0.96599,0.97438,
    468,0.96780,0.96803,0.97120,
    469,0.96803,0.96871,0.96825,
    470,0.96644,0.97098,0.97234,
    471,0.96757,0.97007,0.97778,
    472,0.96395,0.97029,0.97596,
    473,0.96553,0.97029,0.97143,
    474,0.96848,0.96825,0.97460,
    475,0.96349,0.97551,0.97460,
    476,0.96213,0.96780,0.97438,
    477,0.96599,0.97075,0.97279,
    478,0.96735,0.96893,0.97370,
    479,0.96712,0.97052,0.97120,
    480,0.96848,0.97166,0.97052,
    481,0.96780,0.97120,0.97347,
    482,0.96145,0.96984,0.97098,
    483,0.96735,0.97166,0.97166,
    484,0.96803,0.96984,0.96893,
    485,0.96644,0.97120,0.97188,
    486,0.97279,0.97007,0.97256,
    487,0.97279,0.96893,0.97415,
    488,0.96531,0.96757,0.97460,
    489,0.96531,0.97166,0.96984,
    490,0.97211,0.97279,0.97188,
    491,0.96553,0.97029,0.97166,
    492,0.96190,0.96712,0.97098,
    493,0.96712,0.96667,0.96825,
    494,0.97029,0.97166,0.97370,
    495,0.96916,0.97098,0.97029,
    496,0.96803,0.96825,0.97279,
    497,0.96712,0.97098,0.97347,
    498,0.96689,0.96757,0.97574,
    499,0.96893,0.97007,0.97098,
    500,0.96939,0.97234,0.97460,
    501,0.96916,
    502,0.96689,
    503,0.97120,
    504,0.97279,
    505,0.96576,
    506,0.96757,
    507,0.96644,
    508,0.97120,
    509,0.96689,
    510,0.96848,
    511,0.96803,
    512,0.96871,
    513,0.96757,
    514,0.97098,
    515,0.96757,
    516,0.97143,
    517,0.97075,
    518,0.97120,
    519,0.96440,
    520,0.96803,
    521,0.97166,
    522,0.96961,
    523,0.96893,
    524,0.97483,
    525,0.96961,
    526,0.96961,
    527,0.96712,
    528,0.96871,
    529,0.97052,
    530,0.96440,
    531,0.96576,
    532,0.96667,
    533,0.96349,
    534,0.96599,
    535,0.96803,
    536,0.96372,
    537,0.96803,
    538,0.97098,
    539,0.97188,
    540,0.96916,
    541,0.97143,
    542,0.97460,
    543,0.97234,
    544,0.97256,
    545,0.96848,
    546,0.96848,
    547,0.97075,
    548,0.96916,
    549,0.97324,
    550,0.97120,
    551,0.97551,
    552,0.97438,
    553,0.97052,
    554,0.97279,
    555,0.96893,
    556,0.97460,
    557,0.96757,
    558,0.97211,
    559,0.96984,
    560,0.96871,
    561,0.96735,
    562,0.96712,
    563,0.96667,
    564,0.96803,
    565,0.96757,
    566,0.97143,
    567,0.96757,
    568,0.96667,
    569,0.96916,
    570,0.96916,
    571,0.97075,
    572,0.96712,
    573,0.96803,
    574,0.97007,
    575,0.97143,
    576,0.96939,
    577,0.97234,
    578,0.96939,
    579,0.96893,
    580,0.97007,
    581,0.96893,
    582,0.96848,
    583,0.97029,
    584,0.97324,
    585,0.97211,
    586,0.97506,
    587,0.96916,
    588,0.97029,
    589,0.96916,
    590,0.96803,
    591,0.96689,
    592,0.97120,
    593,0.96599,
    594,0.96463,
    595,0.96757,
    596,0.96508,
    597,0.96984,
    598,0.97392,
    599,0.97188,
    600,0.97143,
    601,0.96689,
    602,0.97098,
    603,0.96939,
    604,0.96871,
    605,0.96893,
    606,0.97302,
    607,0.96961,
    608,0.97211,
    609,0.96757,
    610,0.96961,
    611,0.97120,
    612,0.97075,
    613,0.97166,
    614,0.96939,
    615,0.96395,
    616,0.96961,
    617,0.97188,
    618,0.96961,
    619,0.96689,
    620,0.97324,
    621,0.96893,
    622,0.96848,
    623,0.97324,
    624,0.97619,
    625,0.97370,
    626,0.97256,
    627,0.96916,
    628,0.97166,
    629,0.97438,
    630,0.97029,
    631,0.96780,
    632,0.96984,
    633,0.96893,
    634,0.96961,
    635,0.97166,
    636,0.96916,
    637,0.97370,
    638,0.97302,
    639,0.97075,
    640,0.96939,
    641,0.97052,
    642,0.97098,
    643,0.96961,
    644,0.96712,
    645,0.96893,
    646,0.97188,
    647,0.96757,
    648,0.97256,
    649,0.96825,
    650,0.97098,
    651,0.97256,
    652,0.96939,
    653,0.96961,
    654,0.96848,
    655,0.96916,
    656,0.96667,
    657,0.96689,
    658,0.96349,
    659,0.96644,
    660,0.96667,
    661,0.96553,
    662,0.96825,
    663,0.96803,
    664,0.96961,
    665,0.96848,
    666,0.97098,
    667,0.96961,
    668,0.97052,
    669,0.96145,
    670,0.96848,
    671,0.96825,
    672,0.96984,
    673,0.97279,
    674,0.96961,
    675,0.97256,
    676,0.97211,
    677,0.96916,
    678,0.97460,
    679,0.97007,
    680,0.96916,
    681,0.96803,
    682,0.96803,
    683,0.96304,
    684,0.97052,
    685,0.96689,
    686,0.97098,
    687,0.97098,
    688,0.96553,
    689,0.96939,
    690,0.96984,
    691,0.97143,
    692,0.97120,
    693,0.96757,
    694,0.97075,
    695,0.96803,
    696,0.96757,
    697,0.96757,
    698,0.96803,
    699,0.96576,
    700,0.96553,
    701,0.96916,
    702,0.96621,
    703,0.97120,
    704,0.97166,
    705,0.97143,
    706,0.96939,
    707,0.96848,
    708,0.96848,
    709,0.96893,
    710,0.97460,
    711,0.97098,
    712,0.97075,
    713,0.96712,
    714,0.96621,
    715,0.97052,
    716,0.96848,
    717,0.96168,
    718,0.96236,
    719,0.96893,
    720,0.96780,
    721,0.97120,
    722,0.96689,
    723,0.96916,
    724,0.96916,
    725,0.96803,
    726,0.97188,
    727,0.97438,
    728,0.96939,
    729,0.97075,
    730,0.97098,
    731,0.96961,
    732,0.96916,
    733,0.96848,
    734,0.97211,
    735,0.96893,
    736,0.96667,
    737,0.96417,
    738,0.97256,
    739,0.97347,
    740,0.97098,
    741,0.96984,
    742,0.97506,
    743,0.97483,
    744,0.97279,
    745,0.96871,
    746,0.97211,
    747,0.96803,
    748,0.97256,
    749,0.97460,
    750,0.96848,
    751,0.96984,
    752,0.96757,
    753,0.97166,
    754,0.97166,
    755,0.96825,
    756,0.96961,
    757,0.96712,
    758,0.97166,
    759,0.96803,
    760,0.96508,
    761,0.96916,
    762,0.97279,
    763,0.97143,
    764,0.97143,
    765,0.97029,
    766,0.97302,
    767,0.97075,
    768,0.97166,
    769,0.96961,
    770,0.96848,
    771,0.97166,
    772,0.97120,
    773,0.97460,
    774,0.97120,
    775,0.96939,
    776,0.96145,
    777,0.96689,
    778,0.97007,
    779,0.96689,
    780,0.96417,
    781,0.96508,
